Item Class,Item Desc,Item Num,Item ID,Description,Is Tagged,Condition,Status,Purchase date,Cost,Checked Out To,Checked Out By,Check Out Date,Outing Name,Notes
LNTRN,Lantern,001,LNTRN-001,LED Lantern,FALSE,Usable,Available,,,,,,,
DOWL,Dowel Rods,001,DOWL-001,Dowels for lashings,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,001,BINER-001,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,002,BINER-002,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,003,BINER-003,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,004,BINER-004,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,005,BINER-005,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,006,BINER-006,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,007,BINER-007,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,008,BINER-008,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,009,BINER-009,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,010,BINER-010,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,011,BINER-011,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,012,BINER-012,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,013,BINER-013,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,014,BINER-014,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,015,BINER-015,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,016,BINER-016,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,017,BINER-017,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,018,BINER-018,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
FISH,Fishing Gear,001,FISH-001,Box of fishing gear,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",001,POTS-001,,FALSE,Usable,Available,,,,,,,need to inventory all items from here down
POTS,"Pots, various sizes",002,POTS-002,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",003,POTS-003,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",004,POTS-004,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",005,POTS-005,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",006,POTS-006,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",007,POTS-007,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",008,POTS-008,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",009,POTS-009,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",010,POTS-010,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",011,POTS-011,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",012,POTS-012,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",013,POTS-013,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",014,POTS-014,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",001,PANS-001,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",002,PANS-002,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",003,PANS-003,,FALSE,Usable,Available,,,,,,,
